2023-02-01,116387459@n,86,1,36900,4,3,3,3.128128486484482
2023-02-01,116393756@n,106,1,113500,4,4,5,4.451475064777894
2023-02-01,11645847@n,293,1,37615,1,3,3,2.7437430270310363
2023-02-01,116485247@n,226,1,42700,2,4,4,3.743743027031036
2023-02-01,116503578@n,70,1,38700,4,3,3,3.128128486484482
2023-02-01,116507304@n,221,1,25800,2,1,1,1.1281284864844818
2023-02-01,1165167@n,269,1,34369,1,2,2,1.871871513515518
2023-02-01,116520103@n,41,2,80992,5,5,5,5.0
2023-02-01,11653388@n,85,1,37363,4,3,3,3.128128486484482
2023-02-01,116584243@n,26,1,47900,5,4,4,4.128128486484481
2023-02-01,116749137@n,242,1,36900,1,3,3,2.7437430270310363
2023-02-01,116794113@n,11,3,46544,5,5,4,4.5485249352221055
2023-02-01,11680220@n,75,1,39539,4,3,4,3.579603551262376
2023-02-01,11683024@n,142,1,15900,3,1,1,1.2562569729689639
2023-02-01,11690433@n,168,3,114072,3,5,5,4.7437430270310355
2023-02-01,117003480@n,117,1,40000,4,4,4,4.0
2023-02-01,117060571@n,280,1,39146,1,3,3,2.7437430270310363
2023-02-01,117117140@n,284,1,38800,1,3,3,2.7437430270310363
2023-02-01,117315275@n,16,4,136676,5,5,5,5.0
2023-02-01,117320027@n,20,1,15400,5,1,1,1.5125139459379278
2023-02-01,11733115@n,18,1,13900,5,1,1,1.5125139459379278
2023-02-01,117602408@n,217,1,75600,2,4,5,4.19521809180893
2023-02-01,11771663@n,1,1,38700,5,3,3,3.2562569729689637
2023-02-01,117826420@n,54,1,36900,5,3,3,3.2562569729689637
2023-02-01,118002574@n,102,4,116477,4,5,5,4.871871513515518
