id,R,F,M,r_grade,f_grade,m_grade
12070635@n,83,2,34800.0,3,2,1
120831045@n,190,1,39900.0,1,1,1
12084251@n,130,1,40900.0,2,1,1
120859246@n,193,1,40900.0,1,1,1
120864479@n,101,1,26400.0,2,1,1
120951946@n,93,1,40739.0,3,1,1
12101574@n,65,1,31400.0,3,1,1
121063644@n,88,1,16900.0,3,1,1
121188452@n,114,1,11700.0,2,1,1
121256514@n,25,1,9900.0,4,1,1
12127314@n,57,1,37800.0,3,1,1
121460623@n,188,1,30300.0,1,1,1
12148095@n,64,1,25700.0,3,1,1
121505209@n,149,1,29800.0,2,1,1
12156188@n,205,1,34200.0,1,1,1
1215886@n,149,2,72900.0,2,2,2
121670063@n,205,1,17622.0,1,1,1
1217315987@g,212,1,141800.0,1,1,3
12203735@n,128,1,41900.0,2,1,1
122046802@n,112,1,48000.0,2,1,1
12213688@n,70,1,52433.0,3,1,2
12214143@n,22,1,36900.0,4,1,1
122265125@n,217,1,81400.0,1,1,2
122307515@n,40,1,74800.0,4,1,2
12238947@n,191,1,31900.0,1,1,1
122557182@n,126,1,79100.0,2,1,2
122698077@n,59,1,32400.0,3,1,1
12271303@n,62,1,16500.0,3,1,1
12291208@n,154,1,16900.0,2,1,1
123045083@n,59,1,35805.0,3,1,1
12310194@n,113,1,10700.0,2,1,1
12313222@n,101,1,36977.0,2,1,1
12317695@n,114,1,35700.0,2,1,1
12321620@n,76,1,30400.0,3,1,1
123295961@n,84,1,39283.0,3,1,1
12339917@n,134,1,61800.0,2,1,2
123476900@n,89,1,39773.0,3,1,1
123981480@n,60,1,31400.0,3,1,1
124074428@n,76,1,28200.0,3,1,1
12415665@n,205,1,34200.0,1,1,1
12416623@n,53,1,16775.0,3,1,1
124242913@n,108,1,59700.0,2,1,2
124267386@n,95,1,13900.0,3,1,1
124274687@n,48,1,38900.0,3,1,1
124290936@n,97,1,28500.0,3,1,1
124310074@n,162,1,40900.0,1,1,1
124539687@n,95,1,27900.0,3,1,1
124653963@n,13,1,13900.0,4,1,1
124661357@g,214,1,33200.0,1,1,1
12481431@n,92,1,153000.0,3,1,3
124876022@n,45,1,25900.0,4,1,1
124945497@n,100,1,27300.0,2,1,1
12511279@n,19,1,36900.0,4,1,1
125216431@n,65,1,30300.0,3,1,1
125250133@n,85,1,16900.0,3,1,1
125259035@n,202,1,30100.0,1,1,1
125277615@n,191,1,67800.0,1,1,2
