shop_no,product_no,product_code,custom_product_code,product_name,eng_product_name,supply_product_name,internal_product_name,model_name,price_excluding_tax,price,retail_price,supply_price,display,selling,summary_description,adult_certification,made_in_code,product_weight,product_material,created_date,updated_date,sold_out,additional_price,shipping_fee_by_product,shipping_fee_type
1,268,P00000KI,O_SC_AD_10_3,아그로포레스트리® 이브콘돔 도티드 3팩(30p),,,아그로포레스트리® 이브콘돔 도티드 3팩(30p),,35364.00,38900.00,44700.00,0.00,T,T,"오돌토돌 섬세한 도트, 할인세트",T,KR,1.00,,22-07-14 16:34:54,23-02-03 15:45:21,F,0.00,F,M
1,267,P00000KH,O_SC_AD_10_1,아그로포레스트리® 이브콘돔 도티드,,,아그로포레스트리® 이브콘돔 도티드,,12636.00,13900.00,14900.00,0.00,T,T,오돌토돌 섬세한 도트,T,KR,1.00,,22-07-14 16:34:54,23-02-13 10:24:17,F,0.00,F,M
1,266,P00000KG,O_SC_SET_001,이브콘돔 3종 세트,,,이브콘돔 3종 세트,,37273.00,41000.00,46200.00,0.00,T,T,"0.035, 울트라씬, 도티드를 한번에",T,KR,1.00,,22-07-14 16:34:54,23-02-13 13:55:53,F,0.00,F,M
1,265,P00000KF,O_SC_AF_18_3,아그로포레스트리® 이브 핑거돔 3팩(54p),,,아그로포레스트리® 이브 핑거돔 3팩(54p),,35364.00,38900.00,44700.00,0.00,T,T,"안전하게 즐기는 핑거링, 할인 세트",F,KR,1.00,,22-07-14 16:34:54,23-02-03 15:41:31,F,0.00,F,M
1,264,P00000KE,O_SC_AF_18_1,아그로포레스트리® 이브 핑거돔,,,아그로포레스트리® 이브 핑거돔,,12636.00,13900.00,14900.00,0.00,T,T,"핑거링을 하이라이트로, 촉촉한 핑거돔",F,KR,1.00,,22-07-14 16:34:54,23-02-13 10:22:18,F,0.00,F,M
1,263,P00000KD,O_MMC_SET_001,이브컵 1+1 세트,,,이브컵 1+1 세트,,62800.00,62800.00,73800.00,0.00,T,T,같이 사면 더 할인! 이브컵 1+1,F,KR,1.00,,22-07-14 16:34:54,23-02-13 13:58:32,F,0.00,F,M
1,262,P00000KC,O_MMC_*_MN_1,"이브컵 mini, S, L",,,"이브컵 mini, S, L",,34900.00,34900.00,36900.00,0.00,T,T,[소독컵 증정]월경기간에도 액티브하고 가벼운 하루,F,KR,1.00,,22-07-14 16:34:54,23-02-13 13:53:58,F,0.00,F,M
1,261,P00000KB,O_SL_SET_001,인티밋젤&MD루브 1+1(4종 택2),,,인티밋젤&MD루브 1+1(4종 택2),,42000.00,46200.00,61800.00,0.00,T,T,촉촉한 시간이 필요할 때,F,KR,1.00,,22-07-14 16:34:54,23-02-24 11:35:36,F,0.00,F,M
1,260,P00000KA,O_GCFW_LQ_200_1,외음부세정제 액상형(200ml),,,인티밋 워시 액상형(200ml),,20818.00,22900.00,23900.00,0.00,T,T,COSMOS 유기농 원료 60.3% 외음부세정제,F,KR,1.00,,22-07-14 16:34:54,23-02-13 10:16:27,F,0.00,F,M
1,259,P00000JZ,O_GCFW_FM_150_1,외음부세정제 거품형(150ml),,,인티밋 워시 거품형(150ml),,18091.00,19900.00,20900.00,0.00,T,T,COSMOS 유기농 원료 60.3% 외음부세정제,F,KR,1.00,,22-07-14 16:34:54,23-02-13 10:16:07,F,0.00,F,M
1,258,P00000JY,O_GCFW_FM_150_2,외음부세정제 1+1 세트,,,인티밋 워시 1+1 세트,,32182.00,35400.00,44800.00,0.00,T,T,같이 사면 더 할인! 외음부세정제 1+1,F,KR,1.00,,22-07-14 16:34:54,23-02-13 13:59:13,F,0.00,F,M
1,257,P00000JX,O_MSP_*_M14_10,유기농 순면커버 생리대 중형 10팩(140개입),,,순면커버 생리대 중형 10팩(140개입),,48200.00,48200.00,74000.00,0.00,T,T,"자주 쓰는 중형 생리대, 대용량 할인세트",F,KR,1.00,,22-07-14 16:34:54,23-01-26 11:32:51,F,0.00,F,M
1,256,P00000JW,O_MSP_*_ON10_10,유기농 순면커버 생리대 슈퍼롱 오버나이트 10팩(100개입),,,순면커버 생리대 슈퍼롱 오버나이트 10팩(100개입),,48200.00,48200.00,74000.00,0.00,T,T,"숙면을 위한 오버나이트, 대용량 할인세트",F,KR,1.00,,22-07-14 16:34:54,23-02-13 10:12:56,F,0.00,F,M
1,255,P00000JV,O_MSP_*_M14_1,유기농 순면커버 생리대 중형(14개입),,,순면커버 생리대 중형(14개입),,6900.00,6900.00,7400.00,0.00,T,T,"가장 많이 쓰는 중형, OCS인증 유기농으로 안심",F,KR,1.00,,22-07-14 16:34:54,23-01-26 11:32:32,F,0.00,F,M
1,254,P00000JU,O_MSP_*_ON10_1,유기농 순면커버 생리대 슈퍼롱 오버나이트(10개입),,,순면커버 생리대 슈퍼롱 오버나이트(10개입),,6900.00,6900.00,7400.00,0.00,T,T,"장시간 수면에도 부드러운 순면, 오버나이트",F,KR,1.00,,22-07-14 16:34:54,23-01-26 11:34:23,F,0.00,F,M
1,253,P00000JT,O_MSP_SET_006,유기농 순면커버 생리대 4종 5팩,,순면커버 생리대 4종 5팩,순면커버 생리대 4종 5팩,,33300.00,33300.00,37000.00,0.00,F,F,유기농 순면커버 안심팩! 5팩 세트,F,KR,1.00,,22-07-14 16:34:53,22-12-08 13:50:34,T,0.00,F,M
1,252,P00000JS,O_MSP_*_L12_10,유기농 순면커버 생리대 대형 10팩(120개입),,,순면커버 생리대 대형 10팩(120개입),,48200.00,48200.00,74000.00,0.00,T,T,생리대 대형 대용량 할인세트,F,KR,1.00,,22-07-14 16:34:53,23-02-13 10:11:30,F,0.00,F,M
1,251,P00000JR,O_MSP_*_L12_1,유기농 순면커버 생리대 대형(12개입),,,순면커버 생리대 대형(12개입),,6900.00,6900.00,7400.00,0.00,T,T,"양이 많은 날, OCS인증 유기농으로 안심",F,KR,1.00,,22-07-14 16:34:53,23-02-13 10:11:12,F,0.00,F,M
1,250,P00000JQ,O_MMP_LT_BLM_2,생리팬티 1+1 세트,,,생리팬티 1+1 세트,,51100.00,51100.00,63800.00,0.00,T,T,의약외품 생리팬티로 더 안심할수있는 월경기간,F,KR,1.00,,22-07-14 16:34:53,23-02-13 10:10:39,F,0.00,F,M
1,249,P00000JP,O_MSNTZ_*_*_1,소독컵,,,소독컵,,9000.00,9900.00,10400.00,0.00,T,T,간편한 이브컵 소독,F,KR,1.00,,22-07-14 16:34:53,23-01-26 12:05:07,F,0.00,F,M
1,248,P00000JO,O_MSP_SET_004,유기농 순면커버 생리대 4종 10팩,,순면커버 생리대 4종 10팩,순면커버 생리대 4종 10팩,,59000.00,59000.00,69500.00,0.00,F,F,유기농 순면커버 3개월 실속팩! 10팩 세트,F,KR,1.00,,22-07-14 16:34:53,22-12-08 13:50:44,T,0.00,F,M
1,247,P00000JN,O_MMP_LT_BLM_1,생리팬티 라이트,,,생리팬티 라이트,,29900.00,29900.00,31900.00,0.00,T,T,가볍고 편안한 데일리케어,F,KR,1.00,,22-07-14 16:34:53,23-02-13 10:08:52,F,0.00,F,M
1,246,P00000JM,O_C_SET_001,생리팬티&생리컵 세트,,,생리팬티&생리컵 세트,,58100.00,58100.00,68000.00,0.00,T,T,월경기간인지 모르고 지나가게 해줄게요,F,KR,1.00,,22-07-14 16:34:53,23-02-13 13:54:50,F,0.00,F,M
1,245,P00000JL,O_MMP_SET_031,생리팬티 안심 세트,,,생리팬티 안심 세트,,111100.00,111100.00,163500.00,0.00,T,T,월경기간이 든든한 5장 패키지,F,KR,1.00,,22-07-14 16:34:53,23-02-20 16:16:26,F,0.00,F,M
1,244,P00000JK,O_MMP_LT_BLM_3,생리팬티 시작 세트,,,생리팬티 시작 세트,,71900.00,71900.00,95700.00,0.00,T,T,의약외품 생리팬티 3장 세트로 안심,F,KR,1.00,,22-07-14 16:34:53,23-02-13 10:02:05,F,0.00,F,M
