keyword,ctr,clkCnt,viewCnt,cpc,ccnt,avgRnk,id,impCnt,salesAmt
국산생리컵,0,0,0,0,0,1.3,nkw-a001-01-000004754775270,59,0
생리컵추천,2.46,40,0,1668,3,1.3,nkw-a001-01-000004754775271,1629,66726
생리컵비교,1.51,6,0,1333,0,1.4,nkw-a001-01-000004754775272,398,7997
생리컵사용법,2.06,61,0,1168,3,1.1,nkw-a001-01-000004768712939,2975,71269
생리컵입문,0.75,1,0,440,0,1.2,nkw-a001-01-000004768712940,134,440
생리컵수영,0,0,0,0,0,1,nkw-a001-01-000004768712941,290,0
생리컵교체,0,0,0,0,0,1,nkw-a001-01-000004768712944,64,0
생리컵직구,0,0,0,0,0,1.2,nkw-a001-01-000004768712945,148,0
생리컵브랜드,0,0,0,0,0,1.2,nkw-a001-01-000004768712946,25,0
생리컵소독,1.08,18,0,1448,3,1,nkw-a001-01-000004768712947,1677,26070
생리컵사이즈,0,0,0,0,0,1.1,nkw-a001-01-000004768712948,212,0
수영장생리대,0.62,2,0,1414,0,1.8,nkw-a001-01-000004768712949,326,2827
생리컵빼는법,0.35,1,0,484,0,1,nkw-a001-01-000004768712950,294,484
생리컵세척,0,0,0,0,0,1.1,nkw-a001-01-000004768712951,416,0
수영장생리컵,0,0,0,0,0,1,nkw-a001-01-000004768712952,82,0
생리컵보관,0,0,0,0,0,1.2,nkw-a001-01-000004768712953,214,0
생리컵소독컵,0,0,0,0,0,1,nkw-a001-01-000004768712954,82,0
포궁길이,0,0,0,0,0,1,nkw-a001-01-000004768712955,103,0
초경선물,0.06,1,0,1606,0,2.3,nkw-a001-01-000004768712956,1735,1606
딸첫생리선물,0,0,0,0,0,1.8,nkw-a001-01-000004768712957,60,0
여성용품,0.4,14,0,1931,0,2.1,nkw-a001-01-000004777913267,3506,27027
월경,0.27,10,0,1309,0,1.7,nkw-a001-01-000004777913269,3721,13090
생리대,0.05,1,0,869,0,2.7,nkw-a001-01-000004884740613,2011,869
생리대추천,0,0,0,0,0,2.5,nkw-a001-01-000004884740614,59,0
유기농생리대,10,1,0,2178,0,7.4,nkw-a001-01-000004884740616,10,2178
친환경생리대,0,0,0,0,0,2.6,nkw-a001-01-000004884740617,5,0
유기농생리대추천,0,0,0,0,0,2,nkw-a001-01-000004884740618,2,0
순면생리대,0,0,0,0,0,2.3,nkw-a001-01-000004884740619,3,0
생리대가려움,0,0,0,0,0,1.7,nkw-a001-01-000004884740621,146,0
착한생리대,0,0,0,0,0,3.7,nkw-a001-01-000004884740622,3,0
천연생리대,0,0,0,0,0,2.5,nkw-a001-01-000004884740623,4,0
생리대순위,0,0,0,0,0,3.7,nkw-a001-01-000004884740625,3,0
비건생리대,6.07,2,0,1953,0,2,nkw-a001-01-000004884740626,33,3905
칸디다균여성청결제,0,0,0,0,0,1.8,nkw-a001-01-000004888144225,5,0
질염여성청결제,0,0,0,0,0,8,nkw-a001-01-000004888144228,6,0
호미니스,0,0,0,0,0,1.7,nkw-a001-01-000004889008713,70,0
STD6종,0,0,0,0,0,1.7,nkw-a001-01-000004889008718,9,0
아래가간지러워요,0,0,0,0,0,1,nkw-a001-01-000004889008721,4,0
헤르페스여성청결제,0,0,0,0,0,1,nkw-a001-01-000004889023406,1,0
